person_id,county,city,zip_code,age_group,sex_at_birth,preferred_language
09e8f6d3fa82e72d,Apache,Window Rock,86503,45-64,female,English
c5968807a2173084,Apache,Eagar,86511,65+,female,English
144574d0e012144a,Apache,Window Rock,86503,18-29,male,English
279e3a41194a2894,Apache,Eagar,86511,30-44,female,English
99f749f9b7b66bc5,Apache,Window Rock,86503,45-64,female,English
5421dec51b2f6a13,Apache,Chinle,86503,0-17,female,Spanish
0ef4f8f4cd016a6a,Apache,Chinle,86503,45-64,male,Navajo
c7ff7b7ccfc3fc18,Apache,Window Rock,86511,18-29,male,Spanish
d555f5eec5b7567f,Apache,Eagar,86503,45-64,female,English
5e7ef3d614bc636d,Apache,Window Rock,86503,65+,female,English
65501f84a5b8d488,Apache,Chinle,86503,30-44,female,English
cff63f0a6d4b3521,Apache,Eagar,86503,45-64,female,English
7a1958c508618d41,Apache,Chinle,86505,18-29,male,English
5a6504463523d544,Apache,Eagar,86505,65+,male,English
b535c603325a93c0,Apache,Chinle,86505,18-29,female,Spanish
3277875576a4fead,Apache,Chinle,86503,45-64,female,Spanish
8ca773cf27003cd0,Apache,Window Rock,86505,0-17,male,English
f5c8b208c192f82b,Apache,Eagar,86505,65+,female,English
03f3fa7dfa31d0be,Apache,Eagar,86505,0-17,female,English
9ddc0173a1621296,Apache,Window Rock,86511,30-44,female,English
f3cbd65e03bf6118,Apache,Eagar,86505,65+,male,English
ed4461169cc3e601,Apache,Window Rock,86511,65+,male,Spanish
37d80ba3138c8279,Apache,Window Rock,86505,30-44,female,Spanish
dc0b20dfc2ceec90,Apache,Chinle,86511,45-64,male,English
9398f3370d1a9a1b,Apache,Chinle,86511,30-44,female,English
c976b6da64399c07,Apache,Eagar,86511,65+,male,English
4c5d406004ca32e0,Apache,Chinle,86505,18-29,female,English
d73d2f970b42cfda,Apache,Window Rock,86511,30-44,female,Spanish
9d97ab337b0dd0fa,Apache,Window Rock,86503,45-64,male,English
ebee54e6ab1a0769,Apache,Eagar,86505,65+,male,Spanish
fa96cde0fb3cb2f1,Apache,Window Rock,86511,18-29,other,English
8d5b475429e28ae8,Apache,Eagar,86505,0-17,female,English
d16664861169e0fa,Apache,Eagar,86503,30-44,female,English
e9f185b1e81a4567,Apache,Window Rock,86503,65+,male,English
58773b8c4a37943d,Apache,Chinle,86511,30-44,male,English
7d419ce270ff4726,Apache,Eagar,86505,18-29,female,English
52fea3f47dc4619f,Apache,Window Rock,86511,30-44,female,English
f9d0f4752c8053ff,Apache,Window Rock,86511,45-64,male,English
c920ad139d29d23d,Apache,Chinle,86503,18-29,female,English
aa3d470042b71190,Apache,Window Rock,86505,30-44,male,English
e500f815e7cac5f2,Apache,Eagar,86503,0-17,other,Spanish
497dde3aeb03b3f8,Apache,Window Rock,86503,30-44,female,Spanish
90ba7bb3693aecbb,Apache,Window Rock,86505,0-17,female,Spanish
46312107fdc763fa,Apache,Chinle,86505,30-44,male,Navajo
3c3cf1b381ccd453,Apache,Eagar,86511,30-44,female,English
62f092bcf172e5b2,Apache,Eagar,86511,30-44,male,English
22d76fc4474fd39b,Apache,Chinle,86511,65+,male,English
70933f7d6bd4a83c,Apache,Window Rock,86503,0-17,female,Spanish
53ee97cd0822c8d9,Apache,Window Rock,86511,18-29,male,English
5dc13459afb49991,Apache,Eagar,86511,30-44,female,English
9c9cb6cd986d4009,Apache,Eagar,86505,18-29,female,English
a86d226575f65518,Apache,Chinle,86505,65+,male,English
1d171c0c785bd874,Apache,Eagar,86503,0-17,female,English
4c85931622e12742,Apache,Window Rock,86503,18-29,female,Spanish
62d82e64f5478206,Apache,Chinle,86511,65+,male,English
d32d5ec8af1df655,Apache,Eagar,86505,65+,female,Spanish
aabea3db722b7f48,Apache,Window Rock,86503,45-64,female,English
096301aac9917f76,Apache,Eagar,86505,18-29,male,English
2785b7a1c8bf557d,Apache,Chinle,86503,0-17,female,English
42777895d52a8502,Apache,Chinle,86503,45-64,female,Spanish
eee95d5bc48d2821,Apache,Eagar,86505,30-44,female,Spanish
67c02aea4429f7d6,Apache,Window Rock,86511,0-17,female,English
23ca811624c5d7ae,Apache,Window Rock,86503,18-29,male,Spanish
29204e1368d518b7,Apache,Chinle,86503,45-64,male,English
502210c442edbccf,Apache,Chinle,86511,45-64,male,English
7cc0c56c4be60df1,Apache,Window Rock,86505,0-17,male,English
0975f17523f06798,Apache,Eagar,86511,45-64,female,Spanish
8c95915f416af583,Apache,Chinle,86503,65+,female,Spanish
f5bad44e56014970,Apache,Chinle,86505,45-64,male,English
774bec0f9af8491e,Apache,Window Rock,86505,18-29,male,Spanish
34d3169fe04edbe7,Apache,Chinle,86511,30-44,male,Spanish
834aa330f215f019,Apache,Window Rock,86503,65+,female,English
73a5ca2dd686f0a2,Apache,Window Rock,86503,30-44,female,Spanish
499520147783541b,Apache,Eagar,86511,0-17,male,English
3a8d02471a3db29d,Apache,Eagar,86505,0-17,male,English
d49f619a42b32463,Apache,Eagar,86511,45-64,female,English
a50df7a1a8d6b11a,Apache,Chinle,86511,18-29,male,English
ffc8732e94160acd,Apache,Eagar,86505,45-64,female,English
a2c4f12ab97487cd,Apache,Window Rock,86503,30-44,male,English
a95b60adde90656b,Apache,Eagar,86511,18-29,male,English
0e2458029a13c346,Apache,Window Rock,86505,45-64,male,English
8baf4dd08df5eaea,Apache,Chinle,86511,18-29,female,Spanish
bfe599df46543bc9,Apache,Eagar,86503,45-64,female,English
96d22041e7440aa2,Apache,Chinle,86503,45-64,male,English
e097e10264600483,Apache,Window Rock,86503,0-17,female,English
66f4d0e4283aae14,Apache,Window Rock,86505,30-44,male,English
5966a91d30188d09,Apache,Chinle,86505,30-44,female,English
839fbe99c2d2ffe8,Apache,Window Rock,86505,18-29,male,English
e749ec185fd82639,Apache,Window Rock,86511,18-29,male,English
32074dd600260751,Apache,Chinle,86511,30-44,male,English
30dccd2e6bc73a23,Apache,Chinle,86511,45-64,male,English
f1a32dfa4c870422,Apache,Chinle,86503,45-64,female,English
86a853638235f270,Apache,Eagar,86505,45-64,male,English
0167ae34f6a6278a,Apache,Chinle,86503,45-64,female,English
17aad03754721050,Apache,Window Rock,86503,0-17,female,English
8eddfc807c69ba99,Apache,Window Rock,86505,30-44,male,English
974650359cdbace0,Apache,Chinle,86505,65+,male,English
31b57b3be51c8c31,Apache,Eagar,86505,30-44,male,English
d053f797ce6647ee,Apache,Chinle,86511,45-64,male,English
294ae8956cd31bf0,Apache,Chinle,86503,18-29,female,English
c9abeebafcaaf9ce,Apache,Eagar,86505,45-64,male,Spanish
4fcfb1e69f19524b,Apache,Eagar,86503,65+,male,English
7b44224866ce29fb,Apache,Eagar,86505,0-17,female,English
a776fa3973fa81fb,Apache,Chinle,86503,30-44,female,Spanish
5debe4619a5083d9,Apache,Chinle,86505,45-64,female,Spanish
82b88df7689cd0fd,Apache,Chinle,86503,45-64,male,English
e702d8287554fee5,Apache,Window Rock,86503,18-29,female,English
9411555c4872bd92,Apache,Chinle,86511,0-17,male,English
6eefdaab2b836cc5,Apache,Chinle,86503,45-64,male,English
338f6c116cdac1ff,Apache,Window Rock,86505,0-17,female,English
5393cd5c4e00f8f4,Apache,Chinle,86505,65+,female,English
f5554853bf1c9072,Apache,Eagar,86503,0-17,male,Spanish
af5a18a79e5f1387,Apache,Window Rock,86511,45-64,female,English
00df0e4b6866aede,Apache,Window Rock,86511,45-64,female,English
a833bf71c1213618,Apache,Window Rock,86505,65+,male,Spanish
753a0b935a18b44e,Apache,Window Rock,86505,0-17,male,English
665124aa2d153815,Apache,Eagar,86505,30-44,male,English
3166547f52871437,Apache,Window Rock,86503,18-29,female,Spanish
6676ab2ca4d8d1a6,Apache,Eagar,86511,30-44,female,Spanish
90fb8c11b18ef08b,Apache,Chinle,86503,18-29,female,English
742e130e47a41c1c,Apache,Eagar,86505,30-44,male,English
2c2e0998ce884746,Apache,Eagar,86505,30-44,male,English
90a6d8671bbffd69,Apache,Eagar,86505,30-44,female,English
32fd0abf8d2bcf2b,Apache,Eagar,86503,18-29,male,English
6972f13b6ff58460,Apache,Chinle,86505,65+,male,English
63051f7829b503d2,Apache,Chinle,86505,18-29,female,English
c453dfc34d0df7f2,Apache,Eagar,86511,65+,male,English
5c4f7dedc23646e3,Apache,Chinle,86505,45-64,male,English
a520a384b7c4666c,Apache,Window Rock,86503,18-29,female,English
273ad3e12032d1b3,Apache,Eagar,86503,18-29,male,English
9ad3fc9419c2b37a,Apache,Window Rock,86511,65+,male,Spanish
28b6ab6841311517,Apache,Chinle,86505,30-44,female,Spanish
ac2a7af16055b10e,Apache,Chinle,86503,45-64,female,English
3af00ac4b32ec1dd,Apache,Eagar,86503,0-17,male,Spanish
f5c03658a6143732,Apache,Window Rock,86503,30-44,female,English
a7f196743c11fd10,Apache,Window Rock,86511,30-44,male,English
cf789386b77d7046,Apache,Chinle,86505,30-44,female,Spanish
c951d1a762a132c1,Apache,Window Rock,86511,18-29,male,English
4890950b359cd2d5,Apache,Eagar,86503,0-17,female,English
86cea21c9f060d3b,Apache,Chinle,86503,18-29,male,English
2dadca028c2e0cec,Apache,Window Rock,86511,18-29,female,Spanish
086a8ec810cf76ab,Apache,Eagar,86503,30-44,male,English
d45ab8018047c0de,Apache,Window Rock,86503,0-17,male,English
537c6bd802e8f821,Apache,Eagar,86505,30-44,female,English
1c18edb706c626d5,Apache,Chinle,86511,30-44,female,English
8fb7d3cd4b0ad0fa,Apache,Eagar,86505,45-64,female,English
8d20ffb8b052ff9f,Apache,Eagar,86511,65+,other,English
c9c67fe4b78d12b9,Apache,Eagar,86503,45-64,female,English
d8492d15908419fa,Apache,Chinle,86503,65+,female,Spanish
74e67c638d9122cc,Apache,Chinle,86505,30-44,female,English
3d380497f686637f,Apache,Chinle,86505,45-64,female,Spanish
7eff146d8d6142a0,Apache,Eagar,86503,30-44,female,English
74d235bf7c3c2ad6,Apache,Chinle,86511,45-64,female,Spanish
60c3e9ffc2e5a7a0,Apache,Chinle,86503,0-17,female,Spanish
c501a99f99fd68a3,Apache,Chinle,86503,18-29,male,Spanish
c4647f2fb75938e2,Apache,Eagar,86505,0-17,male,English
